id_klienta;id_osoby_bliskiej
1;1
1536;1
1;2
1;3
123;3
3034;3
2;4
2627;4
2695;4
2;5
3;6
3;7
3318;7
3073;7
4;8
4;9
1428;9
5;10
11;10
5;11
2591;11
5;12
6;13
2205;13
3377;13
6;14
2725;14
2456;14
7;15
7;16
3793;16
1316;16
8;17
813;17
2356;17
8;18
2188;18
2442;18
9;19
10;20
1980;20
10;21
2356;21
11;22
12;23
368;23
2993;23
13;24
13;25
3593;25
499;25
13;26
14;27
1396;27
1848;27
15;28
3588;28
405;28
16;29
1767;29
17;30
3133;30
158;30
17;31
17;32
3441;32
2595;32
18;33
19;34
1866;34
243;34
19;35
2075;35
2538;35
20;36
881;36
20;37
2140;37
3782;37
20;38
1095;38
1605;38
21;39
1378;39
21;40
21;41
2889;41
22;42
22;43
1466;43
22;44
23;45
173;45
2368;45
23;46
2942;46
3287;46
24;47
1417;47
1562;47
24;48
141;48
3544;48
25;49
26;50
897;50
26;51
257;51
26;52
1009;52
2472;52
27;53
27;54
2100;54
432;54
28;55
40;55
1618;55
28;56
28;57
2422;57
2960;57
29;58
1105;58
88;58
29;59
326;59
30;60
393;60
31;61
2110;61
31;62
903;62
32;63
32;64
2758;64
545;64
33;65
3871;65
1131;65
33;66
34;67
34;68
3412;68
107;68
35;69
1443;69
35;70
1325;70
3649;70
36;71
3650;71
36;72
3618;72
2188;72
37;73
3711;73
509;73
37;74
37;75
38;76
38;77
39;78
2529;78
3395;78
39;79
39;80
263;80
1798;80
40;81
45;81
2672;81
40;82
2636;82
40;83
2393;83
494;83
41;84
42;85
2309;85
484;85
42;86
42;87
43;88
3679;88
43;89
436;89
44;90
45;91
1927;91
299;91
45;92
45;93
1774;93
46;94
2024;94
47;95
282;95
2052;95
47;96
807;96
2699;96
47;97
381;97
3540;97
48;98
48;99
1360;99
1922;99
49;100
3052;100
49;101
2988;101
1424;101
50;102
50;103
51;104
461;104
51;105
884;105
52;106
2474;106
52;107
53;108
2400;108
1085;108
53;109
645;109
53;110
1918;110
54;111
539;111
55;112
55;113
259;113
55;114
316;114
56;115
3417;115
57;116
1640;116
113;116
57;117
58;118
1690;118
59;119
2987;119
3697;119
59;120
59;121
3695;121
60;122
60;123
61;124
61;125
62;126
63;127
2739;127
64;128
64;129
826;129
2410;129
64;130
2245;130
65;131
3219;131
65;132
65;133
66;134
729;134
2099;134
66;135
1247;135
2025;135
66;136
3516;136
67;137
350;137
67;138
1529;138
68;139
68;140
68;141
69;142
69;143
3848;143
2304;143
70;144
2081;144
70;145
991;145
70;146
3092;146
71;147
1932;147
716;147
72;148
3514;148
73;149
1190;149
412;149
73;150
73;151
74;152
892;152
1608;152
74;153
74;154
75;155
75;156
76;157
76;158
1832;158
76;159
3097;159
3747;159
77;160
77;161
3273;161
3314;161
77;162
3348;162
844;162
78;163
79;164
3753;164
909;164
79;165
80;166
3631;166
1979;166
81;167
3289;167
2120;167
81;168
81;169
1283;169
82;170
1027;170
1422;170
83;171
3406;171
793;171
83;172
447;172
84;173
3195;173
2536;173
85;174
86;175
294;175
86;176
3295;176
87;177
3580;177
1955;177
88;178
386;178
89;179
89;180
1701;180
90;181
103;181
1;181
91;182
1124;182
91;183
92;184
92;185
2686;185
93;186
93;187
3479;187
1423;187
93;188
94;189
3548;189
94;190
3476;190
95;191
1129;191
567;191
95;192
96;193
97;194
3479;194
97;195
350;195
97;196
98;197
98;198
66;198
690;198
98;199
99;200
30;200
99;201
100;202
2365;202
2608;202
101;203
3629;203
102;204
3861;204
510;204
103;205
103;206
2122;206
2913;206
104;207
104;208
3067;208
105;209
1257;209
3796;209
105;210
1528;210
2522;210
106;211
94;211
1378;211
107;212
2610;212
108;213
3416;213
108;214
108;215
109;216
2531;216
109;217
110;218
1051;218
110;219
1896;219
1950;219
110;220
2217;220
111;221
2291;221
111;222
441;222
924;222
112;223
113;224
1282;224
2795;224
114;225
837;225
3506;225
115;226
1916;226
115;227
336;227
3049;227
115;228
2642;228
3537;228
116;229
398;229
2626;229
116;230
117;231
2504;231
117;232
222;232
118;233
2999;233
118;234
1024;234
119;235
3321;235
2295;235
120;236
9;236
176;236
120;237
120;238
1855;238
121;239
3724;239
122;240
881;240
919;240
122;241
1614;241
122;242
1906;242
123;243
124;244
800;244
657;244
125;245
125;246
3776;246
3271;246
125;247
2672;247
126;248
2125;248
3574;248
126;249
3684;249
126;250
127;251
1288;251
262;251
127;252
1563;252
3825;252
128;253
128;254
1048;254
161;254
129;255
129;256
1031;256
1893;256
130;257
130;258
2645;258
131;259
131;260
1793;260
132;261
2893;261
133;262
134;263
525;263
2543;263
134;264
134;265
135;266
2484;266
136;267
3669;267
136;268
2159;268
137;269
137;270
2111;270
2931;270
138;271
1602;271
1898;271
139;272
3188;272
1244;272
139;273
1722;273
139;274
820;274
140;275
3391;275
2735;275
141;276
141;277
3469;277
989;277
142;278
3121;278
192;278
142;279
3201;279
142;280
2222;280
178;280
143;281
144;282
689;282
144;283
145;284
145;285
145;286
2896;286
3433;286
146;287
828;287
2101;287
147;288
343;288
1092;288
147;289
2680;289
1142;289
148;290
2327;290
149;291
149;292
150;293
150;294
2343;294
151;295
1675;295
152;296
3808;296
2129;296
153;297
729;297
154;298
1859;298
295;298
154;299
2786;299
155;300
145;300
155;301
155;302
2176;302
3705;302
156;303
3002;303
156;304
2472;304
3469;304
156;305
157;306
3620;306
157;307
158;308
159;309
2919;309
159;310
160;311
2806;311
3609;311
160;312
1815;312
3132;312
161;313
161;314
234;314
1780;314
162;315
163;316
163;317
1786;317
3713;317
163;318
125;318
164;319
164;320
165;321
2825;321
166;322
167;323
168;324
1986;324
2324;324
168;325
2205;325
169;326
169;327
170;328
1135;328
171;329
3708;329
171;330
172;331
3789;331
172;332
409;332
3822;332
172;333
376;333
481;333
173;334
1810;334
2613;334
173;335
173;336
174;337
175;338
176;339
2086;339
176;340
177;341
177;342
416;342
178;343
178;344
178;345
179;346
2635;346
3702;346
179;347
1088;347
180;348
3105;348
3786;348
181;349
2238;349
2195;349
181;350
3506;350
182;351
3518;351
1138;351
183;352
183;353
1317;353
184;354
185;355
2069;355
186;356
186;357
982;357
186;358
3389;358
120;358
187;359
187;360
1315;360
216;360
187;361
188;362
3042;362
2362;362
189;363
254;363
2349;363
190;364
190;365
190;366
191;367
3105;367
176;367
191;368
2010;368
1377;368
192;369
192;370
192;371
2391;371
295;371
193;372
193;373
578;373
1289;373
193;374
194;375
194;376
194;377
195;378
63;378
2961;378
195;379
469;379
999;379
195;380
3703;380
196;381
273;381
454;381
197;382
935;382
197;383
2206;383
198;384
199;385
1112;385
199;386
200;387
200;388
201;389
2104;389
3410;389
201;390
1316;390
201;391
202;392
202;393
202;394
3286;394
1248;394
203;395
2397;395
203;396
3363;396
3587;396
204;397
204;398
204;399
2619;399
612;399
205;400
205;401
2422;401
205;402
139;402
1427;402
206;403
3655;403
3427;403
206;404
207;405
2327;405
2170;405
208;406
2666;406
3126;406
208;407
2392;407
3258;407
208;408
3728;408
209;409
3055;409
209;410
1679;410
2972;410
210;411
1914;411
3357;411
210;412
2966;412
210;413
1698;413
1677;413
211;414
3444;414
389;414
212;415
212;416
140;416
213;417
245;417
3614;417
213;418
2089;418
214;419
909;419
205;419
214;420
214;421
2640;421
567;421
215;422
215;423
303;423
1054;423
216;424
3093;424
216;425
3080;425
217;426
3332;426
218;427
2123;427
219;428
219;429
2540;429
220;430
2523;430
1385;430
220;431
220;432
1159;432
221;433
3371;433
222;434
3266;434
3272;434
222;435
222;436
2644;436
223;437
1547;437
224;438
1394;438
224;439
2792;439
224;440
1877;440
2652;440
225;441
600;441
225;442
226;443
1453;443
1336;443
227;444
2864;444
228;445
1990;445
1930;445
228;446
333;446
1987;446
228;447
229;448
40;448
1287;448
229;449
1860;449
2677;449
230;450
2390;450
230;451
231;452
3867;452
2992;452
232;453
232;454
1112;454
232;455
2204;455
233;456
2956;456
3676;456
233;457
3433;457
234;458
2279;458
234;459
2436;459
1658;459
234;460
1487;460
3708;460
235;461
236;462
2726;462
236;463
3774;463
237;464
237;465
1065;465
2775;465
238;466
2009;466
239;467
240;468
181;468
240;469
3113;469
241;470
3060;470
1681;470
241;471
242;472
3334;472
1687;472
243;473
768;473
243;474
244;475
1898;475
3447;475
244;476
1176;476
896;476
244;477
273;477
1981;477
245;478
245;479
3333;479
2564;479
246;480
246;481
1578;481
40;481
246;482
3402;482
1338;482
247;483
2201;483
2787;483
248;484
404;484
249;485
249;486
238;486
250;487
728;487
251;488
3400;488
251;489
251;490
1020;490
252;491
3206;491
960;491
253;492
254;493
255;494
1385;494
85;494
255;495
255;496
256;497
2724;497
257;498
2574;498
258;499
3567;499
258;500
3458;500
258;501
3261;501
2920;501
259;502
748;502
336;502
259;503
873;503
259;504
2832;504
260;505
2652;505
260;506
3601;506
3059;506
261;507
1005;507
684;507
261;508
261;509
2707;509
262;510
2834;510
2252;510
262;511
404;511
262;512
263;513
3145;513
1894;513
264;514
171;514
264;515
264;516
891;516
2121;516
265;517
2331;517
3438;517
265;518
266;519
1266;519
266;520
3303;520
267;521
3065;521
3060;521
268;522
1982;522
268;523
268;524
461;524
968;524
269;525
269;526
269;527
578;527
270;528
3640;528
271;529
2762;529
271;530
272;531
1776;531
273;532
1680;532
414;532
273;533
2674;533
3318;533
274;534
274;535
398;535
126;535
274;536
1446;536
275;537
270;537
275;538
2216;538
2335;538
276;539
277;540
278;541
1075;541
3585;541
278;542
454;542
278;543
1070;543
279;544
279;545
3229;545
1190;545
279;546
2759;546
1343;546
280;547
400;547
280;548
2163;548
281;549
286;549
216;549
281;550
347;550
281;551
1245;551
827;551
282;552
584;552
283;553
3646;553
3308;553
283;554
503;554
283;555
284;556
716;556
3010;556
284;557
3478;557
3683;557
284;558
398;558
3547;558
285;559
1047;559
656;559
286;560
595;560
2183;560
286;561
3184;561
287;562
2977;562
287;563
288;564
288;565
288;566
289;567
2142;567
289;568
290;569
142;569
291;570
2252;570
3657;570
292;571
1638;571
2642;571
292;572
3518;572
561;572
293;573
1673;573
293;574
294;575
2900;575
294;576
2490;576
533;576
294;577
295;578
2630;578
1130;578
296;579
634;579
296;580
296;581
1294;581
297;582
122;582
2497;582
298;583
3317;583
298;584
14;584
2983;584
299;585
2835;585
300;586
301;587
395;587
301;588
3186;588
302;589
302;590
302;591
303;592
67;592
1207;592
304;593
1259;593
305;594
1417;594
306;595
950;595
307;596
866;596
308;597
308;598
308;599
1764;599
794;599
309;600
309;601
310;602
291;602
310;603
192;603
1038;603
311;604
485;604
1121;604
311;605
312;606
1684;606
312;607
3529;607
1025;607
312;608
817;608
313;609
2969;609
313;610
2236;610
2517;610
313;611
1731;611
2052;611
314;612
2478;612
315;613
1819;613
3759;613
315;614
316;615
1843;615
1991;615
316;616
221;616
316;617
2434;617
1204;617
317;618
1652;618
3053;618
317;619
318;620
2527;620
2250;620
318;621
319;622
1619;622
1503;622
319;623
3503;623
319;624
320;625
320;626
372;626
1642;626
321;627
1461;627
297;627
322;628
3692;628
322;629
2278;629
339;629
323;630
3704;630
557;630
323;631
3445;631
324;632
3198;632
325;633
24;633
1313;633
326;634
327;635
328;636
329;637
329;638
527;638
1950;638
330;639
3219;639
331;640
331;641
332;642
630;642
3230;642
333;643
1502;643
3663;643
334;644
335;645
3698;645
977;645
336;646
1804;646
336;647
336;648
1999;648
3564;648
337;649
338;650
3519;650
412;650
339;651
339;652
1533;652
936;652
339;653
340;654
487;654
340;655
688;655
929;655
340;656
1876;656
341;657
2544;657
1875;657
341;658
127;658
1585;658
342;659
3845;659
342;660
1219;660
1859;660
343;661
2113;661
1170;661
343;662
2367;662
344;663
406;663
344;664
440;664
33;664
345;665
36;665
345;666
673;666
346;667
1399;667
2002;667
347;668
635;668
347;669
347;670
621;670
348;671
2228;671
3342;671
349;672
350;673
1611;673
350;674
1969;674
898;674
350;675
1023;675
351;676
429;676
352;677
352;678
3851;678
353;679
2003;679
353;680
354;681
354;682
2620;682
3607;682
355;683
3027;683
356;684
356;685
357;686
3403;686
357;687
2478;687
357;688
358;689
2467;689
359;690
2250;690
359;691
1417;691
360;692
1311;692
343;692
360;693
2859;693
1142;693
361;694
3340;694
1411;694
361;695
362;696
362;697
757;697
2069;697
363;698
1130;698
1464;698
363;699
364;700
3295;700
364;701
364;702
954;702
1893;702
365;703
3190;703
365;704
3512;704
3713;704
366;705
2056;705
3826;705
366;706
367;707
1034;707
3564;707
367;708
1153;708
83;708
368;709
12;709
510;709
368;710
2205;710
2285;710
368;711
1347;711
369;712
369;713
3196;713
3058;713
370;714
370;715
3422;715
370;716
1670;716
911;716
371;717
2658;717
1737;717
371;718
1627;718
2848;718
372;719
1014;719
373;720
1692;720
2605;720
374;721
374;722
997;722
375;723
2843;723
375;724
2843;724
2975;724
375;725
376;726
1029;726
376;727
3646;727
2265;727
377;728
377;729
2586;729
378;730
378;731
236;731
379;732
2755;732
379;733
2724;733
3504;733
380;734
381;735
2083;735
381;736
3617;736
382;737
3224;737
764;737
382;738
1766;738
382;739
963;739
1103;739
383;740
384;741
1255;741
250;741
384;742
1384;742
3192;742
384;743
3553;743
385;744
1798;744
360;744
385;745
3789;745
3682;745
386;746
646;746
3031;746
386;747
125;747
386;748
387;749
753;749
388;750
1819;750
1501;750
389;751
2126;751
2589;751
390;752
2526;752
3809;752
390;753
3063;753
731;753
391;754
392;755
392;756
504;756
1198;756
392;757
3611;757
393;758
87;758
