id_transakcji;kwota;data_transakcji;id_klienta;id_wycieczki
1;1800.0;2024-08-16;3591;1
2;2040.0;2024-08-10;580;1
3;1560.0;2024-08-05;1627;1
4;2160.0;2024-08-18;679;1
5;2160.0;2024-08-22;658;1
6;2040.0;2024-08-01;736;1
7;1200.0;2024-08-21;423;1
8;1176.0;2024-08-24;774;1
9;2040.0;2024-08-22;1494;1
10;1176.0;2024-08-13;1528;1
11;1560.0;2024-08-05;2908;1
12;2040.0;2024-08-17;3151;1
13;2160.0;2024-08-08;434;1
14;2040.0;2024-08-21;2326;1
15;2040.0;2024-08-14;3556;1
16;2040.0;2024-08-10;2497;1
17;2160.0;2024-08-24;46;1
18;1800.0;2024-08-23;2198;1
19;2040.0;2024-08-08;148;1
20;1800.0;2024-08-09;37;1
21;2040.0;2024-08-08;331;1
22;1176.0;2024-08-12;3057;1
23;1800.0;2024-08-10;3714;1
24;2040.0;2024-08-11;485;1
25;2160.0;2024-08-11;923;1
26;1176.0;2024-08-05;2408;1
27;2040.0;2024-08-07;902;1
28;2160.0;2024-08-19;3291;1
29;1800.0;2024-08-17;667;1
30;2160.0;2024-08-04;397;1
31;1200.0;2024-08-10;1261;1
32;1200.0;2024-08-18;3171;1
33;2040.0;2024-08-23;2093;1
34;1800.0;2024-08-13;2433;1
35;2160.0;2024-08-10;1997;1
36;1800.0;2024-08-08;296;1
37;2040.0;2024-08-17;541;1
38;2160.0;2024-08-08;566;1
39;2400.0;2024-08-20;1872;1
40;2040.0;2024-08-14;1891;1
41;2040.0;2024-08-24;2502;1
42;2040.0;2024-08-11;1647;1
43;2160.0;2024-08-18;240;1
44;1800.0;2024-08-07;1553;1
45;1560.0;2024-08-17;2526;1
46;1800.0;2024-08-09;258;1
47;2400.0;2024-08-03;3296;1
48;2160.0;2024-08-10;2372;1
49;2040.0;2024-08-10;688;1
50;2040.0;2024-08-10;1484;1
51;1176.0;2024-08-09;2232;1
52;392.0;2020-06-17;2645;2
53;720.0;2020-06-13;3035;2
54;800.0;2020-06-01;3760;2
55;392.0;2020-06-06;1933;2
56;680.0;2020-06-18;2736;2
57;600.0;2020-06-06;1368;2
58;600.0;2020-06-02;3707;2
59;600.0;2020-06-10;1056;2
60;680.0;2020-06-10;1861;2
61;800.0;2020-06-09;1898;2
62;600.0;2020-06-02;2712;2
63;800.0;2020-06-10;3689;2
64;720.0;2020-06-18;2739;2
65;600.0;2020-06-07;1114;2
66;680.0;2020-06-12;616;2
67;680.0;2020-06-03;1536;2
68;800.0;2020-05-31;61;2
69;680.0;2020-06-10;789;2
70;680.0;2020-06-06;3401;2
71;400.0;2020-06-05;767;2
72;520.0;2020-06-14;1515;2
73;600.0;2020-06-23;585;2
74;680.0;2020-06-21;629;2
75;720.0;2020-06-04;231;2
76;520.0;2020-06-14;2572;2
77;800.0;2020-06-12;1070;2
78;720.0;2020-06-10;563;2
79;520.0;2020-06-13;929;2
80;720.0;2020-06-13;1434;2
81;392.0;2020-06-10;2523;2
82;800.0;2020-06-05;1336;2
83;520.0;2020-06-22;3434;2
84;720.0;2020-06-09;2376;2
85;800.0;2020-06-10;987;2
