id_wycieczki;data_rozpoczecia;odbyla_sie;id_miasta
1;2024-08-31;True;13
2;2020-06-30;True;18
3;2023-08-31;True;3
4;2024-07-31;True;8
5;2021-09-30;True;3
6;2021-07-31;True;12
7;2024-09-30;True;4
8;2020-06-30;True;16
9;2024-07-31;False;7
10;2021-08-31;True;9
11;2022-08-31;True;11
12;2024-08-31;True;5
13;2021-08-31;True;11
14;2022-09-30;True;18
15;2023-07-31;False;5
16;2022-07-31;True;1
17;2022-08-31;True;5
18;2022-09-30;False;16
19;2021-09-30;False;9
20;2020-09-30;True;9
21;2023-06-30;False;18
22;2024-07-31;True;12
23;2024-07-31;True;4
24;2022-09-30;True;6
25;2024-09-30;False;15
26;2022-07-31;True;7
27;2022-09-30;False;6
28;2021-09-30;True;12
29;2024-06-30;True;16
30;2021-08-31;True;16
31;2020-09-30;True;13
32;2023-07-31;False;3
33;2023-09-30;True;5
34;2020-08-31;False;16
35;2022-08-31;True;15
36;2023-06-30;True;2
37;2020-08-31;True;7
38;2023-07-31;True;9
39;2024-07-31;True;1
40;2024-06-30;True;17
41;2021-07-31;True;1
42;2024-06-30;True;15
43;2021-08-31;True;11
44;2022-08-31;False;10
45;2022-09-30;False;11
46;2020-06-30;True;18
47;2021-06-30;True;9
48;2023-08-31;True;2
49;2021-06-30;False;10
50;2021-09-30;False;6
51;2022-07-31;True;18
52;2020-06-30;True;13
53;2020-08-31;True;16
54;2023-06-30;False;13
55;2020-06-30;False;5
56;2024-06-30;True;17
57;2022-07-31;True;15
58;2024-07-31;True;11
59;2023-07-31;True;2
60;2022-06-30;True;8
61;2020-08-31;False;4
62;2023-08-31;True;3
63;2022-06-30;False;17
64;2020-06-30;False;7
65;2023-09-30;False;7
66;2022-09-30;True;19
67;2023-06-30;False;12
68;2020-09-30;True;18
69;2023-09-30;True;2
70;2023-09-30;False;12
71;2023-07-31;True;16
72;2022-08-31;True;6
73;2024-07-31;True;18
74;2024-07-31;True;1
75;2023-09-30;False;12
76;2024-07-31;True;7
77;2020-09-30;False;10
78;2021-09-30;False;12
79;2023-08-31;False;2
80;2020-08-31;True;2
81;2022-07-31;False;13
82;2024-09-30;True;6
83;2024-06-30;True;15
84;2024-08-31;False;16
85;2021-08-31;True;4
86;2024-07-31;True;19
87;2022-09-30;False;2
88;2024-07-31;False;15
89;2023-08-31;True;16
90;2021-08-31;False;10
91;2020-07-31;False;5
92;2020-09-30;True;13
93;2020-07-31;True;20
94;2024-07-31;True;11
95;2021-09-30;True;15
96;2022-09-30;True;13
97;2023-08-31;True;12
98;2022-08-31;False;11
99;2024-08-31;True;14
100;2024-08-31;True;3
101;2023-07-31;False;9
102;2023-07-31;True;15
103;2022-09-30;True;19
104;2021-09-30;True;8
105;2021-06-30;True;1
106;2021-08-31;True;7
107;2021-08-31;True;20
108;2021-09-30;True;17
109;2020-06-30;True;15
110;2021-09-30;False;2
111;2023-08-31;False;10
112;2024-08-31;True;12
113;2022-06-30;True;1
114;2020-06-30;True;18
115;2021-09-30;False;10
116;2023-08-31;False;7
117;2022-08-31;True;16
118;2020-09-30;True;14
